GEOID,cost_burden_rate,severe_cost_burden_rate,overcrowding_rate,cost_burden_norm,severe_cost_burden_norm,overcrowding_norm,housing_score,housing_score_components,housing_insecurity_high,B19013_001E,pct_hispanic,poverty_rate,B03002_003E,B03002_004E,B03002_001E
480291101001,0.513953488372093,0.177906976744186,1.0,0.513953488372093,0.177906976744186,1.0,0.563953488372093,3,1,58009,0.4307304785894206,0.0,458,172,1191
480291101002,0.6055469953775039,0.4422187981510015,0.6060606060606061,0.6055469953775039,0.4422187981510015,0.6060606060606061,0.5512754665297038,3,1,32589,0.5067961165048543,0.0,479,29,1030
480291101003,0.561282932416953,0.1993127147766323,1.0,0.561282932416953,0.1993127147766323,1.0,0.5868652157311951,3,1,34509,0.6366559485530546,0.1867219917012448,429,15,1244
480291103001,0.7073684210526315,0.4126315789473684,0.75,0.7073684210526315,0.4126315789473684,0.75,0.6233333333333333,3,1,37397,0.7492690058479532,0.0544554455445544,287,10,1368
480291103002,0.2206896551724138,0.0,1.0,0.2206896551724138,0.0,1.0,0.4068965517241379,3,0,71875,0.6625222024866785,0.0,172,0,563
480291103003,1.0,0.928,,1.0,0.928,,0.964,2,1,-666666666,0.9064935064935064,0.4439834024896265,47,0,770
480291105001,0.4533947065592635,0.1703107019562715,0.5154639175257731,0.4533947065592635,0.1703107019562715,0.5154639175257731,0.379723108680436,3,0,21146,0.8183248132127409,0.5379188712522046,190,184,2543
480291106001,0.4951456310679611,0.2815533980582524,0.0,0.4951456310679611,0.2815533980582524,0.0,0.2588996763754045,3,0,54211,0.9614740368509213,0.1587301587301587,17,6,597
480291106002,0.6464968152866242,0.3651804670912951,1.0,0.6464968152866242,0.3651804670912951,1.0,0.670559094125973,3,1,20680,0.6318281136198106,0.237410071942446,478,423,2746
480291106003,0.5868852459016394,0.1639344262295081,0.0,0.5868852459016394,0.1639344262295081,0.0,0.2502732240437158,3,0,16471,0.5845373891001268,0.25,754,754,3945
480291107001,0.4346590909090909,0.2272727272727272,0.0,0.4346590909090909,0.2272727272727272,0.0,0.22064393939393936,3,0,26806,0.8073684210526316,0.2781065088757396,126,11,950
480291110001,0.7559808612440191,0.4210526315789473,0.38,0.7559808612440191,0.4210526315789473,0.38,0.5190111642743221,3,1,-666666666,0.4236453201970443,0.366412213740458,144,196,609
480291110002,0.392156862745098,0.2240896358543417,1.0,0.392156862745098,0.2240896358543417,1.0,0.5387488328664799,3,1,74345,0.5828947368421052,0.3597122302158273,261,40,760
480291110003,0.2650602409638554,0.1566265060240964,1.0,0.2650602409638554,0.1566265060240964,1.0,0.4738955823293172,3,1,74031,0.5933014354066986,0.0944881889763779,187,59,836
480291111001,0.627906976744186,0.2790697674418604,,0.627906976744186,0.2790697674418604,,0.45348837209302323,2,0,31438,0.8549848942598187,0.0,27,5,331
480291111002,0.7643097643097643,0.3367003367003367,,0.7643097643097643,0.3367003367003367,,0.5505050505050505,2,1,19583,0.5647590361445783,0.0,205,51,664
480291111003,0.3975155279503105,0.0,,0.3975155279503105,0.0,,0.19875776397515524,2,0,74107,0.4143646408839779,0.0,253,21,543
480291111004,0.2534916201117318,0.1501396648044692,0.5963302752293578,0.2534916201117318,0.1501396648044692,0.5963302752293578,0.3333205200485196,3,0,91957,0.5008849557522124,0.0,950,7,2260
480291201001,0.403242147922999,0.238095238095238,0.0,0.403242147922999,0.238095238095238,0.0,0.21377912867274565,3,0,100096,0.1942365865308072,0.1053227633069082,3333,956,6281
480291203011,0.0,0.0,,0.0,0.0,,0.0,2,0,189286,0.1045267489711934,0.0,1041,0,1215
