GEOID,lat,lon,housing_score,housing_insecurity_high,nearest_grocery_miles,food_distance_norm,within_half_mile,within_one_mile,LILATracts_1And10,LILATracts_halfAnd10,food_insecurity_high,quadrant,service_gap,nearest_food_bank_miles,nearest_food_bank_name,nearest_wic_miles,nearest_wic_name,nearest_grocery_name,B19013_001E,poverty_rate,pct_hispanic
480291214033,29.5040054,-98.3853161,0.2626262626262626,0,0.9812808541887206,0.0696203670205614,0,1,0.0,1.0,0,Low Both,0,1.2189454737930565,Summit Pantry,1.2189454737930565,WIC Clinic Walzem,HEB 384,71746,0.2004089979550102,0.4944649446494465
480291214031,29.5043813,-98.3745899,0.4896403411197627,1,0.4949124070118554,0.0342419132961233,1,1,0.0,1.0,0,High Housing Only,0,1.5934354322126019,Summit Pantry,1.5934354322126019,WIC Clinic Walzem,HEB 384,34817,0.1202290076335877,0.3253768844221105
480291214041,29.4900479,-98.3971346,0.5404040404040403,1,1.5016665493216244,0.1074732362619415,0,0,1.0,1.0,1,High Housing + High Food,0,2.0506262029195685,Summit Pantry,2.0506262029195685,WIC Clinic Walzem,La Michoacana Supermarket,52344,0.0,0.6846615252784919
480291214042,29.4871943,-98.3845568,0.2440597420230821,0,1.598353563741269,0.1145062522506526,0,0,1.0,1.0,1,High Food Only,0,2.3228878206334853,Summit Pantry,2.3228878206334853,WIC Clinic Walzem,HEB 294,17982,0.2277039848197343,0.2659574468085106
480291214043,29.4753919,-98.3938747,0.6939123507959623,1,2.0714864917137383,0.1489219539577475,0,0,1.0,1.0,1,High Housing + High Food,1,3.0577462851782884,Summit Pantry,3.0577462851782884,WIC Clinic Walzem,HEB 294,53056,0.4421487603305785,0.6803394625176803
480291215011,29.546721,-98.3558848,0.1540616246498599,0,2.256609521432644,0.1623878080407045,0,0,0.0,0.0,1,High Food Only,0,2.9576631618920186,Summit Pantry,2.9576631618920186,WIC Clinic Walzem,CULEBRA SUPER MEAT MKT 16,88614,0.0,0.7362450368689734
480291719172,29.4425447,-98.7010023,0.237410071942446,0,0.6334139917042491,0.0443165222335311,0,1,0.0,0.0,0,Low Both,0,7.166001785320858,HOPE Help Other People Eat,4.295109951894094,WIC Clinic W Military,HEB 085,98661,0.0770142180094786,0.7391812865497076
480291818211,29.5391783,-98.6261663,0.0,0,1.5958922753371982,0.1143272180669769,0,0,0.0,0.0,1,High Food Only,0,1.3971021561948316,HOPE Help Other People Eat,1.4167170637796112,WIC Clinic Grissom,HEB Food Store 618,104219,0.0,0.4521868050407709
480291817182,29.5268796,-98.6719286,0.0,0,0.9103390428415994,0.0644600577849599,0,1,0.0,0.0,0,Low Both,0,3.1210540248993954,HOPE Help Other People Eat,1.428888960646448,WIC Clinic Grissom,HEB Food Store 623,106827,0.0,0.6328182487122884
480291915032,29.583005,-98.5788729,0.25,0,1.5685514061127366,0.1123384425157295,0,0,0.0,0.0,1,High Food Only,0,4.9881989999062295,HOPE Help Other People Eat,3.5458690468864784,WIC Clinic Babcock,HEB 395,106402,0.0,0.4066955982641042
480291915031,29.5634468,-98.5671706,0.4100227790432801,0,1.3619508913968008,0.0973103156054637,0,0,0.0,0.0,1,High Food Only,0,4.326288667794427,HOPE Help Other People Eat,2.7550906417267593,WIC Clinic Babcock,HEB 395,110326,0.0285714285714285,0.4650642817216322
480291818132,29.5608322,-98.5770461,0.2632183908045977,0,0.7855172745658345,0.0553805190558761,0,1,0.0,0.0,0,Low Both,0,3.7931663226581342,HOPE Help Other People Eat,2.2389415174388256,WIC Clinic Babcock,HEB 395,53235,0.0170212765957446,0.5297233666862861
480291818094,29.5460857,-98.6224255,0.417391304347826,0,1.74532510748175,0.1251969662334637,0,0,0.0,0.0,1,High Food Only,0,1.8277009808382418,HOPE Help Other People Eat,1.550532524914759,WIC Clinic Babcock,HEB Food Store 618,71323,0.1386666666666666,0.6328715365239295
480291906043,29.4704185,-98.5121002,0.288121732527235,0,0.9162051905028836,0.0648867615211502,0,1,0.0,1.0,0,Low Both,0,2.2435207740945255,Christian Assistance Ministry,3.137002408139078,WIC Clinic Buena Vista,HEB 556,48309,0.1289682539682539,0.9716399506781752
480291211163,29.5823515,-98.462732,0.2452153110047846,0,0.8877753676486274,0.0628187754540411,0,1,0.0,0.0,0,Low Both,0,5.895073771489969,Summit Pantry,5.170494175415483,WIC Clinic Rittiman,HEB 164,72234,0.1151515151515151,0.5087390761548065
480291211164,29.5867974,-98.4560654,0.2354219793564055,0,1.1470429052094264,0.081677903000422,0,0,0.0,0.0,1,High Food Only,0,5.8736759894134565,Summit Pantry,5.29924587694621,WIC Clinic Rittiman,HEB 398,56464,0.2039215686274509,0.4116532449076267
480291211171,29.59876,-98.460763,0.2206439393939393,0,0.6581812785927563,0.0461180953375246,0,1,0.0,0.0,0,Low Both,0,6.701103788263889,Summit Pantry,6.169581596760267,WIC Clinic Rittiman,HEB 397,69909,0.0385906040268456,0.429811320754717
480291211172,29.5957086,-98.4664214,0.6696428571428571,1,0.7569078213653899,0.0532994666726295,0,1,0.0,0.0,0,High Housing Only,0,6.735130610489935,Summit Pantry,6.098913378909072,WIC Clinic Rittiman,HEB 397,103309,0.03515625,0.2105263157894736
480291211161,29.588247,-98.4697648,0.481578947368421,1,0.7975066938652049,0.0562526297331369,0,1,0.0,0.0,0,High Housing Only,0,6.475547735840123,Summit Pantry,5.720230255657711,WIC Clinic Rittiman,HEB 164,57568,0.2638888888888889,0.3617747440273037
480291211162,29.5820475,-98.4690233,0.0,0,0.5346404528554073,0.0371317324025987,0,1,0.0,0.0,0,Low Both,0,6.138744290458,Summit Pantry,5.3233553160695735,WIC Clinic Rittiman,HEB 164,92031,0.0,0.4761904761904761
480291308004,29.4150147,-98.426905,0.2291666666666666,0,1.1984567744794838,0.0854177492123281,0,0,1.0,1.0,1,High Food Only,0,3.884715788053562,Family Service Presa Community Center,0.8448298618709768,WIC Clinic Pecan Valley,HEB 106,38871,0.4874371859296482,0.814968814968815
