CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LowIncomeTracts,LA1and10,LAhalfand10,PovertyRate,MedianFamilyIncome,lapop1share
48029130900,Texas,Bexar County,1,1,1,1,1,31.636892397174897,37377.0,76.39961262305029
48029131000,Texas,Bexar County,0,1,1,0,1,40.502630040911704,32161.0,4.09581988073365
48029131100,Texas,Bexar County,1,1,1,1,1,22.2675367047308,41176.0,94.5081070322204
48029131200,Texas,Bexar County,1,1,1,1,1,38.132807363576596,35729.0,20.9521292555302
48029131300,Texas,Bexar County,0,1,1,0,1,22.6550990342118,39917.0,8.76530866696694
48029131401,Texas,Bexar County,0,0,0,1,1,12.659544294223299,67670.0,97.0496098165747
48029131402,Texas,Bexar County,0,0,1,0,0,24.81726418378,48164.0,36.692756526246804
48029131503,Texas,Bexar County,0,0,0,1,1,8.51282051282051,66500.0,99.9999996073407
48029131504,Texas,Bexar County,1,1,1,1,1,28.484231943031503,52593.0,99.999998644813
48029131505,Texas,Bexar County,0,0,0,0,1,11.2041088073045,56949.0,
48029131506,Texas,Bexar County,0,0,0,1,1,9.80933959657364,62917.0,49.752354848034905
48029131507,Texas,Bexar County,1,1,1,1,1,31.889646989024,46250.0,20.4107260688498
48029131601,Texas,Bexar County,0,0,0,0,0,3.9452309120445603,104846.0,80.62616491916789
48029131606,Texas,Bexar County,0,0,0,1,1,3.5232636547538796,70883.0,91.7088689843429
48029131608,Texas,Bexar County,0,0,0,1,1,11.7825793382849,71447.0,96.484544818421
48029131609,Texas,Bexar County,0,0,0,0,1,8.70413739266198,76006.0,2.10425666490599
48029131610,Texas,Bexar County,0,0,0,0,1,7.19410876132931,75464.0,
48029131611,Texas,Bexar County,0,0,0,0,0,8.99521531100479,68594.0,
48029131612,Texas,Bexar County,0,0,0,1,1,8.18181818181818,74125.0,100.000000851249
48029131613,Texas,Bexar County,0,0,0,1,1,6.522727272727271,64107.0,16.1166860415812
48029131614,Texas,Bexar County,0,0,0,1,1,6.89499774673276,72708.0,40.1301453083488
48029131615,Texas,Bexar County,0,0,0,1,1,8.11976343026121,71594.0,13.8460495021099
48029131700,Texas,Bexar County,0,0,0,1,1,3.82941688424717,92105.0,99.9999992522403
48029131801,Texas,Bexar County,0,0,0,0,0,4.18052256532067,92333.0,100.000000210282
48029131802,Texas,Bexar County,0,0,0,0,0,9.50395083406497,79266.0,96.0078622772982
48029140100,Texas,Bexar County,0,1,1,0,1,20.935412026726098,46583.0,
48029140200,Texas,Bexar County,1,1,1,1,1,11.613130956583099,45096.0,27.600558504506502
48029140300,Texas,Bexar County,1,1,1,1,1,30.148918235459398,34961.0,55.1665138601902
48029140400,Texas,Bexar County,1,1,1,1,1,17.143643368189302,46591.0,56.883623655184
48029140500,Texas,Bexar County,1,1,1,1,1,13.5087719298246,44313.0,45.1921638418846
48029140600,Texas,Bexar County,1,1,1,1,1,20.332390381895298,43900.0,72.572489137164
48029140700,Texas,Bexar County,0,1,1,0,1,21.5255332902392,53750.0,2.7123604841722297
48029140800,Texas,Bexar County,1,1,1,1,1,32.0888727007831,41910.0,13.807738119538701
48029140900,Texas,Bexar County,0,1,1,0,1,29.798723613156604,38317.0,
48029141000,Texas,Bexar County,0,1,1,0,1,36.094674556213,34475.0,0.8064071884777291
48029141101,Texas,Bexar County,1,1,1,1,1,41.0062893081761,32464.0,16.1599140579016
48029141102,Texas,Bexar County,0,1,1,0,1,17.8294573643411,39044.0,2.6742779155417202
48029141200,Texas,Bexar County,1,1,1,1,1,30.5613018893946,34850.0,13.2066254284214
48029141300,Texas,Bexar County,1,1,1,1,1,16.2787293222076,53199.0,91.18254915362199
48029141402,Texas,Bexar County,0,0,0,1,1,9.34141098299785,79773.0,31.1190286047514
48029141403,Texas,Bexar County,0,1,1,0,1,14.003511852502202,56250.0,4.86900477695439
48029141404,Texas,Bexar County,0,0,0,1,1,13.1648235913639,61927.0,13.3460521030138
48029141600,Texas,Bexar County,1,1,1,1,1,14.46128635805,52129.0,98.3360227841098
48029141700,Texas,Bexar County,0,0,0,1,1,8.038698328935801,77923.0,100.000000467354
48029141800,Texas,Bexar County,0,0,1,0,0,18.899348298334502,45536.0,99.9999998903861
48029141900,Texas,Bexar County,0,0,0,0,0,3.96309498846718,67273.0,92.7852981662456
48029150100,Texas,Bexar County,0,1,1,0,1,23.6666095009432,41995.0,
48029150300,Texas,Bexar County,0,1,1,0,1,24.3005282723537,45802.0,
48029150400,Texas,Bexar County,0,1,1,0,1,31.2202852614897,44107.0,
48029150501,Texas,Bexar County,0,0,1,0,0,23.0304386750224,37402.0,
48029150502,Texas,Bexar County,0,1,1,0,1,24.9051094890511,37552.0,
48029150600,Texas,Bexar County,0,1,1,0,1,31.5059991725279,35735.0,
48029150700,Texas,Bexar County,0,1,1,0,1,22.2618877623875,44903.0,
48029150800,Texas,Bexar County,1,1,1,1,1,61.914672216441204,15967.0,46.3407470264706
48029150900,Texas,Bexar County,0,1,1,0,1,16.8271367204859,45133.0,
48029151000,Texas,Bexar County,0,1,1,0,1,23.9270687237027,41595.0,
48029151100,Texas,Bexar County,0,1,1,0,1,27.738469601677203,39043.0,
48029151200,Texas,Bexar County,1,1,1,1,1,20.4307568438003,45962.0,66.9359558676476
48029151301,Texas,Bexar County,1,1,1,1,1,20.441988950276198,42218.0,19.7254396922341
48029151302,Texas,Bexar County,1,1,1,1,1,24.2517482517483,39734.0,94.94207782216439
48029151400,Texas,Bexar County,0,1,1,0,1,26.614987080103404,34979.0,
